"FREQUENC","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Every day","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","2.0","u"
"Every day","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","8.5","u"
"Every day","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","13.5","u"
"Every day","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","25.3","u"
"Every day","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","30.3","u"
"Every day","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.2","u"
"Every day","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","1.9","u"
"Every day","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","6.0","u"
"Every day","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","14.6",""
"Every day","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","15.0","u"
"Every day","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","4.1",""
"Every day","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","11.3",""
"Every day","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","12.9",""
"Every day","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","21.5",""
"Every day","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","14.6",""
"Every day","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.5",""
"Every day","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","3.4",""
"Every day","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","4.9",""
"Every day","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","4.5",""
"Every day","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","2.7",""
"Every day","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","3.0",""
"Every day","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","6.2",""
"Every day","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","14.0",""
"Every day","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","22.7",""
"Every day","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","26.4",""
"Every day","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","1.4",""
"Every day","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.6",""
"Every day","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","5.1",""
"Every day","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","4.6",""
"Every day","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","1.6",""
"Every day","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","3.2",""
"Every day","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","5.1",""
"Every day","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","18.1",""
"Every day","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","36.3",""
"Every day","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0",""
"Every day","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.7",""
"Every day","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","9.1",""
"Every day","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","19.8",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","1.5",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","4.7",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","8.3",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","17.1",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","23.8",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.4",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","1.5",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","3.1",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","7.0",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","8.8",""
"Every day","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0.2",""
"Every day","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","2.5",""
"Every day","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","5.7",""
"Every day","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","5.8",""
"Every day","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","5.1",""
"Every day","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.2",""
"Every day","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.3",""
"Every day","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.1",""
"Every day","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0.3",""
"Every day","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0",""
"Every day","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.3",""
"Every day","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","1.3",""
"Every day","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","3.6",""
"Every day","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","7.4",""
"Every day","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0",""
"Every day","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.7",""
"Every day","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.7",""
"Every day","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","3.0",""
"Every day","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","1.0",""
"Every day","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","2.7",""
"Every day","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","11.2",""
"Every day","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","14.6",""
"Every day","Greece","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","19.7",""
"Every day","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.1",""
"Every day","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.5",""
"Every day","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","2.8",""
"Every day","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","2.6",""
"Every day","Greece","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","4.3",""
"Every day","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","1.5",""
"Every day","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","7.1",""
"Every day","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","15.0",""
"Every day","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","34.8",""
"Every day","Spain","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","42.9",""
"Every day","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.0",""
"Every day","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","2.0",""
"Every day","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","4.3",""
"Every day","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","10.5",""
"Every day","Spain","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","12.8",""
"Every day","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","2.3",""
"Every day","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","4.9",""
"Every day","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","10.3",""
"Every day","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","20.4",""
