"TIME","GEO","UNIT","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"2014","Belgium","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","22.3",""
"2014","Belgium","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","27.1",""
"2014","Belgium","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","37.6",""
"2014","Belgium","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","64.0",""
"2014","Belgium","Percentage","All ISCED 2011 levels ","Males","65 years or over","88.1",""
"2014","Belgium","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","42.9",""
"2014","Belgium","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","47.8",""
"2014","Belgium","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","52.7",""
"2014","Belgium","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","71.3",""
"2014","Belgium","Percentage","All ISCED 2011 levels ","Females","65 years or over","90.4",""
"2014","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","3.1",""
"2014","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","8.2",""
"2014","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","14.4",""
"2014","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","42.5",""
"2014","Bulgaria","Percentage","All ISCED 2011 levels ","Males","65 years or over","75.7",""
"2014","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","10.4",""
"2014","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","12.9",""
"2014","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","14.8",""
"2014","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","50.7",""
"2014","Bulgaria","Percentage","All ISCED 2011 levels ","Females","65 years or over","81.4",""
"2014","Czechia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","15.0",""
"2014","Czechia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","25.3",""
"2014","Czechia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","31.7",""
"2014","Czechia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","60.4",""
"2014","Czechia","Percentage","All ISCED 2011 levels ","Males","65 years or over","91.2",""
"2014","Czechia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","29.5",""
"2014","Czechia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","33.1",""
"2014","Czechia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","43.4",""
"2014","Czechia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","69.8",""
"2014","Czechia","Percentage","All ISCED 2011 levels ","Females","65 years or over","92.7",""
"2014","Denmark","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","19.3",""
"2014","Denmark","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","23.1",""
"2014","Denmark","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","28.0",""
"2014","Denmark","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","47.7",""
"2014","Denmark","Percentage","All ISCED 2011 levels ","Males","65 years or over","79.4",""
"2014","Denmark","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","25.8",""
"2014","Denmark","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","28.7",""
"2014","Denmark","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","36.4",""
"2014","Denmark","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","53.2",""
"2014","Denmark","Percentage","All ISCED 2011 levels ","Females","65 years or over","79.5",""
"2014","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","18.6",""
"2014","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","23.2",""
"2014","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","31.3",""
"2014","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","57.4",""
"2014","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","65 years or over","85.8",""
"2014","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","30.6",""
"2014","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","33.5",""
"2014","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","40.4",""
"2014","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","60.7",""
"2014","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","65 years or over","86.9",""
"2014","Estonia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","15.8",""
"2014","Estonia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","18.1",""
"2014","Estonia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","24.4",""
"2014","Estonia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","44.7",""
"2014","Estonia","Percentage","All ISCED 2011 levels ","Males","65 years or over","72.2",""
"2014","Estonia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","21.2",""
"2014","Estonia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","23.5",""
"2014","Estonia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","21.6",""
"2014","Estonia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","51.1",""
"2014","Estonia","Percentage","All ISCED 2011 levels ","Females","65 years or over","81.4",""
"2014","Ireland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","23.6",""
"2014","Ireland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","18.6",""
"2014","Ireland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","29.1",""
"2014","Ireland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","50.1",""
"2014","Ireland","Percentage","All ISCED 2011 levels ","Males","65 years or over","78.3",""
"2014","Ireland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","31.3",""
"2014","Ireland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","26.8",""
"2014","Ireland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","33.8",""
